mingcheng,neirong,pingfen,renshu
伟大的安巴逊 The Magnificent Ambersons,导演: 奥逊·威尔斯 主演: 约瑟夫·科顿 / 提姆·霍尔特 / 多洛雷斯·卡斯特洛 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1942,7.5,(1618人评价)
穆赫兰道 Mulholland Dr.,导演: 大卫·林奇 主演: 娜奥米·沃茨 / 劳拉·哈灵 / 安·米勒 类型: 剧情 / 悬疑 / 惊悚 制片国家/地区: 法国/美国 年份: 2001,8.4,(386869人评价)
日落黄沙 The Wild Bunch,导演: 萨姆·佩金帕 主演: 威廉·霍尔登 / 欧内斯特·博格宁 / 罗伯特·瑞安 类型: 动作 / 西部 制片国家/地区: 美国 年份: 1969,8.3,(8921人评价)
,,,
狂人皮埃罗 Pierrot le fou,导演: 让-吕克·戈达尔 主演: 让-保罗·贝尔蒙多 / 安娜·卡里娜 / 贾泽拉·加瓦尼 类型: 剧情 / 爱情 / 犯罪 制片国家/地区: 法国/意大利 年份: 1965,8.4,(25062人评价)
西部往事 C'era una volta il West,导演: 赛尔乔·莱昂内 主演: 亨利·方达 / 查尔斯·布朗森 / 克劳迪娅·卡汀娜 类型: 剧情 / 犯罪 / 西部 制片国家/地区: 意大利/美国 年份: 1968,8.7,(44147人评价)
淘金记 The Gold Rush,导演: 查理·卓别林 主演: 查理·卓别林 / 马克·斯旺 / 汤姆·默里 类型: 喜剧 / 爱情 / 西部 / 冒险 制片国家/地区: 美国 年份: 1925,9.2,(47310人评价)
第七封印 Det sjunde inseglet,导演: 英格玛·伯格曼 主演: 古纳尔·布约恩施特兰德 / 本特·埃切罗特 / 尼尔斯·波普 类型: 剧情 / 奇幻 制片国家/地区: 瑞典 年份: 1957,8.5,(45266人评价)
游览意大利 Viaggio in Italia,导演: 罗伯托·罗西里尼 主演: 英格丽·褒曼 / 乔治·桑德斯 / Leslie Daniels 类型: 剧情 制片国家/地区: 法国/意大利 年份: 1954,7.8,(2646人评价)
,,,
大路 La strada,导演: 费德里科·费里尼 主演: 安东尼·奎恩 / 朱丽叶塔·马西纳 / 理查德·贝斯哈特 类型: 剧情 制片国家/地区: 意大利 年份: 1954,9.0,(36448人评价)
晩春,导演: 小津安二郎 主演: 笠智众 / 原节子 / 月丘梦路 类型: 剧情 / 家庭 制片国家/地区: 日本 年份: 1949,8.7,(20805人评价)
,,,
,,,
,,,
好家伙 GoodFellas,导演: 马丁·斯科塞斯 主演: 罗伯特·德尼罗 / 雷·利奥塔 / 乔·佩西 类型: 剧情 / 传记 / 犯罪 制片国家/地区: 美国 年份: 1990,8.5,(98754人评价)
,,,
低俗小说 Pulp Fiction,导演: 昆汀·塔伦蒂诺 主演: 约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫 类型: 剧情 / 喜剧 / 犯罪 制片国家/地区: 美国 年份: 1994,8.9,(721125人评价)
维莉蒂安娜 Viridiana,导演: 路易斯·布努埃尔 主演: 西尔维娅·皮纳尔 / 弗朗西斯科·拉瓦尔 / 费尔南多·雷伊 类型: 剧情 制片国家/地区: 西班牙/墨西哥 年份: 1961,8.6,(5728人评价)
祖与占 Jules et Jim,导演: 弗朗索瓦·特吕弗 主演: 让娜·莫罗 / 奥斯卡·威内尔 / 亨利·赛尔 类型: 剧情 / 爱情 制片国家/地区: 法国 年份: 1962,8.4,(40159人评价)
,,,
纳什维尔 Nashville,导演: 罗伯特·奥特曼 主演: 大卫·阿金 / 芭芭拉·巴斯里 / 尼德·巴蒂 类型: 剧情 / 喜剧 / 音乐 制片国家/地区: 美国 年份: 1975,8.2,(3039人评价)
生活多美好 It's a Wonderful Life,导演: 弗兰克·卡普拉 主演: 詹姆斯·斯图尔特 / 唐娜·里德 / 莱昂纳尔·巴里摩尔 类型: 剧情 / 爱情 / 奇幻 制片国家/地区: 美国 年份: 1946,9.3,(78756人评价)
,,,
死囚越狱 Un Condamné à mort s'est échappé,导演: 罗伯特·布列松 主演: 弗朗索瓦·莱特瑞尔 / 查尔斯·勒克莱恩 / 莫里斯·贝尔布洛克 类型: 剧情 / 惊悚 / 战争 制片国家/地区: 法国 年份: 1956,8.5,(15619人评价)
,,,
双虎屠龙 The Man Who Shot Liberty Valance,导演: 约翰·福特 主演: 约翰·韦恩 / 詹姆斯·斯图尔特 / 维拉·迈尔斯 类型: 剧情 / 爱情 / 西部 制片国家/地区: 美国 年份: 1962,8.2,(3933人评价)
,,,
安妮·霍尔 Annie Hall,导演: 伍迪·艾伦 主演: 伍迪·艾伦 / 黛安·基顿 / 谢莉·杜瓦尔 类型: 喜剧 / 剧情 / 爱情 制片国家/地区: 美国 年份: 1977,8.6,(85717人评价)
,,,
山椒大夫,导演: 沟口健二 主演: 田中绢代 / 香川京子 / 菅井一郎 类型: 剧情 制片国家/地区: 日本 年份: 1954,8.1,(4766人评价)
去年在马里昂巴德 L'année dernière à Marienbad,导演: 阿伦·雷乃 主演: 德菲因·塞里格 / 乔治·阿尔贝塔齐 / 萨夏·皮托埃夫 类型: 剧情 / 爱情 / 悬疑 制片国家/地区: 法国/意大利 年份: 1961,8.3,(17782人评价)
大白鲨 Jaws,导演: 史蒂文·斯皮尔伯格 主演: 罗伊·谢德 / 罗伯特·肖 / 理查德·德莱福斯 类型: 剧情 / 惊悚 / 冒险 制片国家/地区: 美国 年份: 1975,7.8,(86271人评价)
闪灵 The Shining,导演: 斯坦利·库布里克 主演: 杰克·尼科尔森 / 谢莉·杜瓦尔 / 丹尼·劳埃德 类型: 剧情 / 悬疑 / 恐怖 制片国家/地区: 英国/美国 年份: 1980,8.3,(421596人评价)
,,,
,,,
党同伐异 Intolerance: Love's Struggle Throughout the Ages,导演: 大卫·格里菲斯 主演: 丽莲·吉许 / 梅·马什 / 罗伯特·哈伦 类型: 剧情 / 历史 / 爱情 制片国家/地区: 美国 年份: 1916,8.7,(9259人评价)
放大 Blow-Up,导演: 米开朗基罗·安东尼奥尼 主演: 瓦妮莎·雷德格雷夫 / 莎拉·米尔斯 / 戴维·海明斯 类型: 剧情 / 悬疑 / 惊悚 制片国家/地区: 英国/意大利/美国 年份: 1966,8.5,(38049人评价)
,,,
,,,
你逃我也逃 To Be or Not to Be,导演: 恩斯特·刘别谦 主演: 卡洛·朗白 / 杰克·本尼 / 罗伯特·斯塔克 类型: 喜剧 / 爱情 / 战争 制片国家/地区: 美国 年份: 1942,9.2,(35556人评价)
绿野仙踪 The Wizard of Oz,导演: 维克多·弗莱明 主演: 朱迪·加兰 / 弗兰克·摩根 / 雷·博尔格 类型: 歌舞 / 奇幻 / 冒险 制片国家/地区: 美国 年份: 1939,8.2,(42720人评价)
堤 La jetée,导演: 克里斯·马克 主演: 让·内格罗尼 / 埃莱娜·夏特兰 / 达沃斯·哈尼奇 类型: 短片 / 剧情 / 爱情 / 科幻 制片国家/地区: 法国 年份: 1962,9.0,(22373人评价)
乱世佳人 Gone with the Wind,导演: 维克多·弗莱明 / 乔治·库克 / 山姆·伍德 主演: 费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰 类型: 剧情 / 历史 / 爱情 / 战争 制片国家/地区: 美国 年份: 1939,9.3,(601957人评价)
蚀 L'eclisse,导演: 米开朗基罗·安东尼奥尼 主演: 阿兰·德龙 / 莫尼卡·维蒂 / 弗朗西斯科·拉瓦尔 类型: 剧情 / 爱情 制片国家/地区: 意大利/法国 年份: 1962,8.4,(15597人评价)
,,,
美国往事 Once Upon a Time in America,导演: 赛尔乔·莱昂内 主演: 罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文 类型: 犯罪 / 剧情 制片国家/地区: 美国/意大利 年份: 1984,9.2,(358424人评价)
,,,
福尔摩斯二世 Sherlock Jr.,导演: 巴斯特·基顿 主演: 巴斯特·基顿 / 凯瑟琳·麦奎尔 / 乔·基顿 类型: 喜剧 / 动作 / 爱情 制片国家/地区: 美国 年份: 1924,9.5,(20526人评价)
生之欲 生きる,导演: 黑泽明 主演: 志村乔 / 日守新一 / 田中春男 类型: 剧情 制片国家/地区: 日本 年份: 1952,9.2,(30604人评价)
,,,
星球大战 Star Wars,导演: 乔治·卢卡斯 主演: 哈里森·福特 / 马克·哈米尔 / 凯丽·费雪 类型: 动作 / 科幻 / 冒险 制片国家/地区: 美国 年份: 1977,8.4,(120046人评价)
,,,
彗星美人 All About Eve,导演: 约瑟夫·L·曼凯维奇 主演: 贝蒂·戴维斯 / 安妮·巴克斯特 / 乔治·桑德斯 类型: 剧情 制片国家/地区: 美国 年份: 1950,8.7,(21318人评价)
广岛之恋 Hiroshima mon amour,导演: 阿伦·雷乃 主演: 埃玛妞·丽娃 / 冈田英次 / 贝尔纳·弗雷松 类型: 剧情 / 爱情 / 战争 制片国家/地区: 法国/日本 年份: 1959,7.8,(34626人评价)
,,,
侠骨柔情 My Darling Clementine,导演: 约翰·福特 主演: 亨利·方达 / 琳达·达内尔 / 维克多·迈彻 类型: 剧情 / 西部 制片国家/地区: 美国 年份: 1946,7.9,(2035人评价)
美人计 Notorious,导演: 阿尔弗雷德·希区柯克 主演: 加里·格兰特 / 英格丽·褒曼 / 克劳德·雷恩斯 类型: 剧情 / 爱情 / 惊悚 制片国家/地区: 美国 年份: 1946,7.7,(32285人评价)
育婴奇谭 Bringing Up Baby,导演: 霍华德·霍克斯 主演: 凯瑟琳·赫本 / 加里·格兰特 / 查尔斯·拉格尔斯 类型: 喜剧 / 爱情 制片国家/地区: 美国 年份: 1938,7.3,(3600人评价)
牯岭街少年杀人事件 牯嶺街少年殺人事件,导演: 杨德昌 主演: 张震 / 杨静怡 / 张国柱 类型: 剧情 / 犯罪 制片国家/地区: 中国台湾 年份: 1991,8.9,(234993人评价)
,,,
"诺斯费拉图 Nosferatu, eine Symphonie des Grauens",导演: F·W·茂瑙 主演: 马科斯·夏瑞克 / 约翰·戈托特 / 格里塔·斯楚瑞德 类型: 奇幻 / 恐怖 制片国家/地区: 德国 年份: 1922,8.2,(12365人评价)
,,,
,,,
随心所欲 Vivre sa vie: Film en douze tableaux,导演: 让-吕克·戈达尔 主演: 安娜·卡里娜 / 萨德·里波特 / 安德烈·S·拉巴尔特 类型: 剧情 制片国家/地区: 法国 年份: 1962,8.5,(14859人评价)
,,,
,,,
,,,
"罗马，不设防的城市 Roma, città aperta",导演: 罗伯托·罗西里尼 主演: 阿尔多·法布里齐 / 安娜·马尼亚尼 / 马塞洛·巴格利埃罗 类型: 剧情 / 战争 / 惊悚 制片国家/地区: 意大利 年份: 1945,8.0,(11763人评价)
,,,
E.T.外星人 E.T. the Extra-Terrestrial,导演: 史蒂文·斯皮尔伯格 主演: 亨利·托马斯 / 迪·沃伦斯 / 罗伯特·麦克纳夫顿 类型: 剧情 / 科幻 制片国家/地区: 美国 年份: 1982,8.6,(298943人评价)
一条安达鲁狗 Un chien andalou,导演: 路易斯·布努埃尔 主演: 西蒙妮·玛勒伊 / Pierre Batcheff / 路易斯·布努埃尔 类型: 短片 / 奇幻 制片国家/地区: 法国 年份: 1929,8.2,(39528人评价)
淑女伊芙 The Lady Eve,导演: 普莱斯顿·斯特奇斯 主演: 芭芭拉·斯坦威克 / 亨利·方达 / 查尔斯·科本 类型: 喜剧 / 犯罪 / 爱情 制片国家/地区: 美国 年份: 1941,7.6,(2067人评价)
,,,
恐惧吞噬灵魂 Angst essen Seele auf,导演: 赖纳·维尔纳·法斯宾德 主演: 布里吉特·米拉 / 埃尔·赫迪·本·萨利姆 / 芭芭拉·瓦伦汀 类型: 剧情 / 爱情 制片国家/地区: 西德 年份: 1974,8.5,(12085人评价)
天堂里的烦恼 Trouble in Paradise,导演: 恩斯特·刘别谦 主演: 米利亚姆·霍普金斯 / 凯·弗朗西斯 / 赫伯特·马歇尔 类型: 喜剧 / 犯罪 / 爱情 制片国家/地区: 美国 年份: 1932,8.2,(3233人评价)
天堂之日 Days of Heaven,导演: 泰伦斯·马力克 主演: 理查·基尔 / 布鲁克·亚当斯 / 山姆·夏普德 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1978,7.9,(12450人评价)
为所应为 Do the Right Thing,导演: 斯派克·李 主演: 丹尼·爱罗 / 奥西·戴维斯 / 露比·迪 类型: 剧情 / 喜剧 制片国家/地区: 美国 年份: 1989,8.2,(12295人评价)
关山飞渡 Stagecoach,导演: 约翰·福特 主演: 约翰·韦恩 / 克莱尔·特雷弗 / 约翰·卡拉丁 类型: 动作 / 剧情 / 爱情 / 西部 制片国家/地区: 美国 年份: 1939,8.3,(12339人评价)
,,,
异形 Alien,导演: 雷德利·斯科特 主演: 西格妮·韦弗 / 汤姆·斯凯里特 / 维罗尼卡·卡维特 类型: 恐怖 / 科幻 制片国家/地区: 英国/美国 年份: 1979,8.2,(208381人评价)
双重赔偿 Double Indemnity,导演: 比利·怀尔德 主演: 弗莱德·麦克莫瑞 / 芭芭拉·斯坦威克 / 爱德华·罗宾逊 类型: 剧情 / 犯罪 / 悬疑 / 惊悚 / 黑色电影 制片国家/地区: 美国 年份: 1944,8.5,(29617人评价)
,,,
,,,
窃听大阴谋 The Conversation,导演: 弗朗西斯·福特·科波拉 主演: 吉恩·哈克曼 / 约翰·凯泽尔 / 艾伦·加菲尔德 类型: 剧情 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1974,8.1,(10604人评价)
相见恨晚 Brief Encounter,导演: 大卫·里恩 主演: 西莉亚·约翰逊 / 特瑞沃·霍华德 / 斯坦利·霍洛威 类型: 爱情 / 剧情 制片国家/地区: 英国 年份: 1945,8.0,(8469人评价)
