mingcheng,neirong,pingfen,renshu
机器人总动员 WALL·E,导演: 安德鲁·斯坦顿 主演: 本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林 类型: 科幻 / 动画 / 冒险 制片国家/地区: 美国 年份: 2008,9.3,(1159728人评价)
,,,
,,,
,,,
,,,
,,,
,,,
逃亡 To Have and Have Not,导演: 霍华德·霍克斯 主演: 亨弗莱·鲍嘉 / 劳伦·白考尔 / 沃尔特·布伦南 类型: 喜剧 / 爱情 / 冒险 制片国家/地区: 美国 年份: 1944,7.7,(1695人评价)
,,,
大红灯笼高高挂,导演: 张艺谋 主演: 巩俐 / 马精武 / 何赛飞 类型: 剧情 制片国家/地区: 中国大陆/中国香港/中国台湾 年份: 1991,8.6,(212983人评价)
,,,
,,,
,,,
雏菊 Sedmikrásky,导演: 维拉·希蒂洛娃 主演: 伊特卡·采尔霍娃 / 伊万娜·卡尔班诺娃 / Julius Albert 类型: 喜剧 / 剧情 制片国家/地区: 捷克斯洛伐克 年份: 1966,8.4,(7146人评价)
狗镇 Dogville,导演: 拉斯·冯·提尔 主演: 妮可·基德曼 / 哈里特·安德森 / 劳伦·白考尔 类型: 剧情 / 悬疑 / 惊悚 制片国家/地区: 丹麦/瑞典/挪威/芬兰/英国/法国/德国/荷兰/意大利 年份: 2003,8.4,(134014人评价)
,,,
,,,
异形2 Aliens,导演: 詹姆斯·卡梅隆 主演: 西格妮·韦弗 / 凯莉·赫恩 / 迈克尔·比恩 类型: 动作 / 科幻 / 惊悚 / 冒险 制片国家/地区: 美国 年份: 1986,8.1,(130436人评价)
,,,
影子部队 L'armée des ombres,导演: 让-皮埃尔·梅尔维尔 主演: 利诺·文图拉 / 保罗·默里斯 / 让-皮埃尔·卡塞尔 类型: 剧情 / 战争 制片国家/地区: 法国/意大利 年份: 1969,8.6,(6441人评价)
,,,
,,,
,,,
,,,
漫长的告别 The Long Goodbye,导演: 罗伯特·奥特曼 主演: 埃利奥特·古尔德 / 妮娜·范·帕朗特 / 斯特林·海登 类型: 犯罪 / 剧情 / 惊悚 / 悬疑 制片国家/地区: 美国 年份: 1973,7.4,(2209人评价)
,,,
,,,
,,,
影武者,导演: 黑泽明 主演: 仲代达矢 / 山崎努 / 萩原健一 类型: 剧情 / 历史 / 战争 制片国家/地区: 日本/美国 年份: 1980,9.0,(59198人评价)
,,,
,,,
,,,
,,,
无辜的人 The Innocents,导演: 杰克·克莱顿 主演: 黛博拉·蔻儿 / 彼得·温贾德 / 梅格斯·詹金斯 类型: 恐怖 / 惊悚 制片国家/地区: 英国 年份: 1961,7.9,(3291人评价)
亚历山大·涅夫斯基 Александр Невский,导演: 谢尔盖·爱森斯坦 / 迪米特里·瓦西里耶夫 主演: 尼古拉·切尔卡索夫 / 尼克拉·奥赫洛普科夫 / 安德烈·阿布里科索夫 类型: 动作 / 剧情 / 历史 / 战争 制片国家/地区: 苏联 年份: 1938,7.1,(733人评价)
,,,
放荡的女皇 The Scarlet Empress,导演: 约瑟夫·冯·斯登堡 主演: 玛琳·黛德丽 / 约翰·洛基 / 山姆·谢斐 类型: 剧情 / 历史 / 爱情 制片国家/地区: 美国 年份: 1934,7.2,(816人评价)
,,,
舞台春秋 Limelight,导演: 查理·卓别林 主演: 查理·卓别林 / 巴斯特·基顿 / 克莱尔·布鲁姆 类型: 喜剧 / 剧情 / 音乐 / 爱情 制片国家/地区: 美国 年份: 1952,8.9,(6413人评价)
,,,
战国妖姬 Senso,导演: 卢基诺·维斯康蒂 主演: 法利·格兰杰 / 阿莉达·瓦利 / 马西莫·吉洛蒂 类型: 剧情 / 历史 / 爱情 / 战争 制片国家/地区: 意大利 年份: 1954,7.3,(1824人评价)
日以作夜 La nuit américaine,导演: 弗朗索瓦·特吕弗 主演: 杰奎琳·比塞特 / 瓦伦蒂娜·格特斯 / 达尼 类型: 喜剧 / 剧情 / 爱情 制片国家/地区: 法国/意大利 年份: 1973,8.4,(9595人评价)
逍遥骑士 Easy Rider,导演: 丹尼斯·霍珀 主演: 彼得·方达 / 丹尼斯·霍珀 / 杰克·尼科尔森 类型: 剧情 / 冒险 制片国家/地区: 美国 年份: 1969,8.3,(20413人评价)
肖申克的救赎 The Shawshank Redemption,导演: 弗兰克·德拉邦特 主演: 蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 类型: 犯罪 / 剧情 制片国家/地区: 美国 年份: 1994,9.7,(2508125人评价)
,,,
,,,
,,,
大象 Elephant,导演: 格斯·范·桑特 主演: 阿里克斯·弗罗斯特 / 约翰·罗宾森 / 埃里克·德伦 类型: 犯罪 / 剧情 制片国家/地区: 美国 年份: 2003,7.8,(66924人评价)
,,,
,,,
,,,
,,,
,,,
火车怪客 Strangers on a Train,导演: 阿尔弗雷德·希区柯克 主演: 法利·格兰杰 / 罗伯特·沃克 / 露丝·罗曼 类型: 犯罪 / 惊悚 / 黑色电影 制片国家/地区: 美国 年份: 1951,8.1,(31327人评价)
,,,
原野奇侠 Shane,导演: 乔治·史蒂文斯 主演: 艾伦·拉德 / 琪恩·亚瑟 / 凡·赫夫林 类型: 剧情 / 西部 制片国家/地区: 美国 年份: 1953,7.6,(2892人评价)
幻想曲 Fantasia,导演: 詹姆斯·阿尔格 / 福特·毕比 / Samuel Armstrong / Norman Ferguson / Jim Handley / T. Hee / Wilfred Jackson / Hamilton Luske / Bill Roberts / 保罗·萨特菲尔德 / 宾·沙普斯坦 主演: 华特·迪士尼 / 列奥波德·斯托科夫斯基 / Deems Taylor 类型: 动画 / 奇幻 / 音乐 制片国家/地区: 美国 年份: 1940,8.9,(14770人评价)
,,,
,,,
麦秋 麥秋,导演: 小津安二郎 主演: 原节子 / 笠智众 / 淡岛千景 类型: 剧情 / 家庭 制片国家/地区: 日本 年份: 1951,8.7,(10337人评价)
,,,
象人 The Elephant Man,导演: 大卫·林奇 主演: 安东尼·霍普金斯 / 约翰·赫特 / 安妮·班克罗夫特 类型: 剧情 / 传记 制片国家/地区: 美国 年份: 1980,8.2,(25201人评价)
疯狂的麦克斯2 Mad Max 2,导演: 乔治·米勒 主演: 梅尔·吉布森 / 布鲁斯·斯宾斯 / 弗农·威尔斯 类型: 动作 / 科幻 / 惊悚 / 冒险 制片国家/地区: 澳大利亚 年份: 1981,7.3,(16733人评价)
,,,
私恋失调 Punch-Drunk Love,导演: 保罗·托马斯·安德森 主演: 亚当·桑德勒 / 艾米丽·沃森 / 菲利普·塞默·霍夫曼 类型: 喜剧 / 剧情 / 爱情 制片国家/地区: 美国 年份: 2002,7.9,(10532人评价)
终结者 The Terminator,导演: 詹姆斯·卡梅隆 主演: 阿诺·施瓦辛格 / 迈克尔·比恩 / 琳达·汉密尔顿 类型: 动作 / 科幻 / 惊悚 制片国家/地区: 美国/英国 年份: 1984,8.2,(182443人评价)
木偶奇遇记 Pinocchio,导演: 汉密尔顿·卢斯科 / 宾·沙普斯坦 主演: 梅尔·布兰科 / 弗兰基·达罗 / 克里夫·爱德华兹 类型: 剧情 / 动画 / 奇幻 / 音乐 制片国家/地区: 美国 年份: 1940,8.4,(45929人评价)
玩具总动员 Toy Story,导演: 约翰·拉塞特 主演: 汤姆·汉克斯 / 蒂姆·艾伦 / 唐·里克斯 类型: 喜剧 / 动画 / 家庭 制片国家/地区: 美国 年份: 1995,8.5,(314362人评价)
,,,
,,,
上海小姐 The Lady from Shanghai,导演: 奥逊·威尔斯 主演: 丽塔·海华斯 / 奥逊·威尔斯 / 埃弗雷特·斯隆 类型: 犯罪 / 剧情 / 黑色电影 / 悬疑 制片国家/地区: 美国 年份: 1947,8.0,(6255人评价)
,,,
音乐之声 The Sound of Music,导演: 罗伯特·怀斯 主演: 朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克 类型: 剧情 / 传记 / 爱情 / 歌舞 制片国家/地区: 美国 年份: 1965,9.1,(520845人评价)
,,,
,,,
卧虎藏龙 臥虎藏龍,导演: 李安 主演: 周润发 / 杨紫琼 / 章子怡 类型: 剧情 / 爱情 / 武侠 制片国家/地区: 中国台湾/中国香港/美国/中国大陆 年份: 2000,8.3,(393472人评价)
步步惊魂 Point Blank,导演: 约翰·保曼 主演: 李·马文 / 安吉·迪金森 / 凯勒·欧康纳 类型: 犯罪 / 剧情 / 惊悚 制片国家/地区: 美国 年份: 1967,7.4,(930人评价)
,,,
,,,
阿甘正传 Forrest Gump,导演: 罗伯特·泽米吉斯 主演: 汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1994,9.5,(1884487人评价)
海上花,导演: 侯孝贤 主演: 梁朝伟 / 羽田美智子 / 刘嘉玲 类型: 剧情 制片国家/地区: 中国台湾/日本 年份: 1998,8.2,(61900人评价)
,,,
黄土地,导演: 陈凯歌 主演: 薛白 / 王学圻 / 谭托 类型: 剧情 / 音乐 制片国家/地区: 中国大陆 年份: 1984,7.9,(29186人评价)
,,,
,,,
"船长二世 Steamboat Bill, Jr.",导演: 查尔斯·赖斯纳 / 巴斯特·基顿 主演: 巴斯特·基顿 / 汤姆·麦奎尔 / 欧内斯特·托伦斯 类型: 剧情 / 喜剧 / 动作 / 爱情 / 家庭 制片国家/地区: 美国 年份: 1928,8.6,(3384人评价)
,,,
,,,
雁南飞 Летят журавли,导演: 米哈依尔·卡拉托佐夫 主演: 塔吉娅娜·萨莫依洛娃 / 阿列克谢·巴塔洛夫 / 瓦西里·梅尔库里耶夫 类型: 剧情 / 爱情 / 战争 制片国家/地区: 苏联 年份: 1957,8.7,(12356人评价)
我的舅舅 Mon Oncle,导演: 雅克·塔蒂 主演: 让·皮埃尔·佐拉 / Adrienne Servantie / Lucien Frégis 类型: 喜剧 制片国家/地区: 意大利/法国 年份: 1958,8.6,(13087人评价)
,,,
,,,
,,,
,,,
对她说 Hable con ella,导演: 佩德罗·阿莫多瓦 主演: 哈维尔·卡马拉 / 达里奥·格兰迪内蒂 / 蕾欧诺·瓦特林 类型: 剧情 / 爱情 制片国家/地区: 西班牙 年份: 2002,8.5,(80432人评价)
,,,
,,,
,,,
巴顿·芬克 Barton Fink,导演: 乔尔·科恩 / 伊桑·科恩 主演: 约翰·特托罗 / 约翰·古德曼 / 朱迪·戴维斯 类型: 剧情 / 喜剧 / 惊悚 制片国家/地区: 美国/英国 年份: 1991,8.1,(31557人评价)
金发女郎的爱情 Lásky jedné plavovlásky,导演: 米洛斯·福尔曼 主演: 哈娜·布赖霍娃 / 乌拉迪米尔·布戳特 / 弗拉迪米尔·门西克 类型: 喜剧 / 爱情 / 剧情 制片国家/地区: 捷克斯洛伐克 年份: 1965,7.5,(1147人评价)
,,,
,,,
离魂异客 Dead Man,导演: 吉姆·贾木许 主演: 约翰尼·德普 / 加利·法梅尔 / 克里斯平·格洛弗 类型: 剧情 / 西部 / 奇幻 / 冒险 制片国家/地区: 美国/德国/日本 年份: 1995,8.0,(19674人评价)
大地在波动 La terra trema,导演: 卢基诺·维斯康蒂 主演: Antonio Arcidiacono / Giuseppe Arcidiacono / Venera Bonaccorso 类型: 剧情 制片国家/地区: 意大利 年份: 1952,8.1,(1752人评价)
科学怪人 Frankenstein,导演: 詹姆斯·惠尔 主演: 科林·克利夫 / 梅·克拉克 / 约翰·博尔斯 类型: 科幻 / 恐怖 制片国家/地区: 美国 年份: 1931,7.5,(6344人评价)
"阿尔法城 Alphaville, une étrange aventure de Lemmy Caution",导演: 让-吕克·戈达尔 主演: 埃迪·康斯坦丁 / 安娜·卡里娜 / 阿基姆·坦米罗夫 类型: 剧情 / 科幻 / 悬疑 制片国家/地区: 法国/意大利 年份: 1965,7.8,(6623人评价)
窃听风暴 Das Leben der Anderen,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 主演: 乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫 类型: 剧情 / 悬疑 制片国家/地区: 德国 年份: 2006,9.2,(487762人评价)
月光光心慌慌 Halloween,导演: 约翰·卡朋特 主演: 唐纳德·普利森斯 / 杰米·李·柯蒂斯 / 南希·凯斯 类型: 惊悚 / 恐怖 制片国家/地区: 美国 年份: 1978,6.7,(13159人评价)
待客之道 Our Hospitality,导演: 约翰·布莱斯通 / 巴斯特·基顿 主演: 巴斯特·基顿 / 娜塔莉·塔尔梅奇 / 乔·罗伯茨 类型: 喜剧 / 爱情 / 惊悚 制片国家/地区: 美国 年份: 1923,8.6,(4754人评价)
窈窕淑男 Tootsie,导演: 西德尼·波拉克 主演: 达斯汀·霍夫曼 / 杰西卡·兰格 / 特瑞·加尔 类型: 喜剧 / 爱情 制片国家/地区: 美国 年份: 1982,8.1,(11253人评价)
总统班底 All the President's Men,导演: 艾伦·J·帕库拉 主演: 达斯汀·霍夫曼 / 罗伯特·雷德福 / 杰克·瓦尔登 类型: 剧情 / 历史 / 惊悚 制片国家/地区: 美国 年份: 1976,7.9,(7834人评价)
赌城风云 Casino,导演: 马丁·斯科塞斯 主演: 罗伯特·德尼罗 / 莎朗·斯通 / 乔·佩西 类型: 传记 / 犯罪 / 剧情 制片国家/地区: 美国/法国 年份: 1995,8.3,(37804人评价)
,,,
仆人 The Servant,导演: 约瑟夫·罗西 主演: 德克·博加德 / 詹姆斯·福克斯 / 莎拉·米尔斯 类型: 剧情 制片国家/地区: 英国 年份: 1963,8.3,(2864人评价)
,,,
,,,
,,,
日瓦戈医生 Doctor Zhivago,导演: 大卫·里恩 主演: 奥马尔·沙里夫 / 朱莉·克里斯蒂 / 杰拉丁·卓别林 类型: 剧情 / 爱情 / 战争 制片国家/地区: 美国/意大利/英国 年份: 1965,8.5,(17247人评价)
,,,
,,,
,,,
妮诺契卡 Ninotchka,导演: 恩斯特·刘别谦 主演: 葛丽泰·嘉宝 / 茂文·道格拉斯 / 艾娜·克莱尔 类型: 喜剧 / 爱情 制片国家/地区: 美国 年份: 1939,7.9,(4095人评价)
猜火车 Trainspotting,导演: 丹尼·博伊尔 主演: 伊万·麦克格雷格 / 艾文·布莱纳 / 约翰尼·李·米勒 类型: 剧情 / 犯罪 制片国家/地区: 英国 年份: 1996,8.6,(376149人评价)
无因的反叛 Rebel Without a Cause,导演: 尼古拉斯·雷 主演: 詹姆斯·迪恩 / 娜塔莉·伍德 / 萨尔·米涅奥 类型: 剧情 制片国家/地区: 美国 年份: 1955,8.0,(13006人评价)
,,,
,,,
不法之徒 Down by Law,导演: 吉姆·贾木许 主演: 汤姆·威兹 / 约翰·劳瑞 / 罗伯托·贝尼尼 类型: 剧情 / 喜剧 / 犯罪 制片国家/地区: 美国/西德 年份: 1986,8.2,(11130人评价)
汉娜姐妹 Hannah and Her Sisters,导演: 伍迪·艾伦 主演: 伍迪·艾伦 / 米亚·法罗 / 凯丽·费雪 类型: 喜剧 / 剧情 / 爱情 制片国家/地区: 美国 年份: 1986,8.0,(11806人评价)
,,,
霸王别姬,导演: 陈凯歌 主演: 张国荣 / 张丰毅 / 巩俐 类型: 剧情 / 爱情 / 同性 制片国家/地区: 中国大陆/中国香港 年份: 1993,9.6,(1864578人评价)
,,,
辣手摧花 Shadow of a Doubt,导演: 阿尔弗雷德·希区柯克 主演: 特雷莎·怀特 / 约瑟夫·科顿 / 麦克唐纳·凯瑞 类型: 剧情 / 犯罪 / 悬疑 制片国家/地区: 美国 年份: 1943,7.5,(22130人评价)
十二怒汉 12 Angry Men,导演: 西德尼·吕美特 主演: 亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒 类型: 剧情 制片国家/地区: 美国 年份: 1957,9.4,(407443人评价)
,,,
罗拉秘史 Laura,导演: 奥托·普雷明格 主演: 吉恩·蒂尔尼 / 达纳·安德鲁斯 / 克利夫顿·韦伯 类型: 剧情 / 爱情 / 悬疑 / 黑色电影 制片国家/地区: 美国 年份: 1944,7.8,(2714人评价)
夜阑人未静 The Asphalt Jungle,导演: 约翰·休斯顿 主演: 斯特林·海登 / 路易斯·卡尔亨 / 简·哈根 类型: 犯罪 / 黑色电影 / 剧情 制片国家/地区: 美国 年份: 1950,7.8,(1850人评价)
,,,
,,,
,,,
伊甸园之东 East of Eden,导演: 伊利亚·卡赞 主演: 詹姆斯·迪恩 / 朱丽·哈里斯 / 雷蒙德·马西 类型: 剧情 制片国家/地区: 美国 年份: 1955,8.2,(4359人评价)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
布杜落水遇救记 Boudu sauvé des eaux,导演: 让·雷诺阿 主演: 米歇尔·西蒙 / 玛塞勒·海尼亚 / Sévérine Lerczinska 类型: 喜剧 制片国家/地区: 法国 年份: 1932,7.6,(743人评价)
秘密与谎言 Secrets & Lies,导演: 迈克·李 主演: 蒂莫西·斯波 / 菲利斯·洛根 / 布兰达·布莱斯 类型: 剧情 / 喜剧 / 家庭 制片国家/地区: 英国/法国 年份: 1996,8.1,(4833人评价)
远大前程 Great Expectations,导演: 大卫·里恩 主演: 约翰·米尔斯 / Anthony Wager / 瓦莱莉娅·霍布森 类型: 剧情 / 爱情 制片国家/地区: 英国 年份: 1946,7.8,(2978人评价)
,,,
,,,
生死狂澜 Deliverance,导演: 约翰·保曼 主演: 强·沃特 / 伯特·雷诺兹 / 尼德·巴蒂 类型: 冒险 / 剧情 / 惊悚 制片国家/地区: 美国 年份: 1972,7.5,(1625人评价)
老无所依 No Country for Old Men,导演: 伊桑·科恩 / 乔尔·科恩 主演: 汤米·李·琼斯 / 哈维尔·巴登 / 乔什·布洛林 类型: 犯罪 / 剧情 / 惊悚 制片国家/地区: 美国 年份: 2007,8.3,(254987人评价)
,,,
,,,
,,,
,,,
迷失东京 Lost in Translation,导演: 索菲亚·科波拉 主演: 斯嘉丽·约翰逊 / 比尔·默瑞 / 吉奥瓦尼·瑞比西 类型: 剧情 / 爱情 制片国家/地区: 美国/日本 年份: 2003,7.7,(199441人评价)
蓝天使 Der blaue Engel,导演: 约瑟夫·冯·斯登堡 主演: 埃米尔·雅宁斯 / 玛琳·黛德丽 / 库尔特·盖瑞 类型: 剧情 / 歌舞 制片国家/地区: 德国 年份: 1930,7.8,(2833人评价)
,,,
贵妇失踪记 The Lady Vanishes,导演: 阿尔弗雷德·希区柯克 主演: 玛格丽特·洛克伍德 / 迈克尔·雷德格瑞夫 / 保罗·卢卡斯 类型: 喜剧 / 悬疑 / 惊悚 制片国家/地区: 英国 年份: 1938,8.0,(21138人评价)
,,,
法国贩毒网 The French Connection,导演: 威廉·弗莱德金 主演: 吉恩·哈克曼 / 费尔南多·雷伊 / 罗伊·谢德 类型: 动作 / 犯罪 / 惊悚 制片国家/地区: 美国 年份: 1971,7.7,(9431人评价)
,,,
公主艳史 Love Me Tonight,导演: 鲁本·马莫利安 主演: C.奥布雷·史密斯 / 莫里斯·舍瓦利耶 / 珍妮特·麦克唐纳 类型: 歌舞 / 喜剧 制片国家/地区: 美国 年份: 1932,7.3,(265人评价)
人工智能 Artificial Intelligence: AI,导演: 史蒂文·斯皮尔伯格 主演: 海利·乔·奥斯蒙 / 弗兰西丝·奥康纳 / 山姆·洛巴兹 类型: 剧情 / 科幻 制片国家/地区: 美国/英国 年份: 2001,8.7,(384114人评价)
内陆帝国 Inland Empire,导演: 大卫·林奇 主演: 劳拉·邓恩 / 杰瑞米·艾恩斯 / 贾斯汀·塞洛克斯 类型: 剧情 / 悬疑 / 惊悚 制片国家/地区: 法国/波兰/美国 年份: 2006,7.6,(7866人评价)
,,,
洛奇 Rocky,导演: 约翰·G·艾维尔森 主演: 西尔维斯特·史泰龙 / 塔莉娅·夏尔 / 波特·杨 类型: 剧情 / 爱情 / 运动 制片国家/地区: 美国 年份: 1976,8.7,(51223人评价)
,,,
宾虚 Ben-Hur,导演: 威廉·惠勒 主演: 查尔顿·赫斯顿 / 杰克·霍金斯 / 哈雅·哈拉里特 类型: 剧情 / 动作 / 历史 / 战争 / 冒险 制片国家/地区: 美国 年份: 1959,8.7,(30972人评价)
,,,
红圈 Le cercle rouge,导演: 让-皮埃尔·梅尔维尔 主演: 阿兰·德龙 / 布尔维尔 / 吉安·马里亚·沃隆特 类型: 犯罪 / 剧情 / 惊悚 制片国家/地区: 法国/意大利 年份: 1970,8.3,(8664人评价)
天涯何处觅知音 Splendor in the Grass,导演: 伊利亚·卡赞 主演: 沃伦·比蒂 / 娜塔莉·伍德 / 奥黛丽·克里斯蒂 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1961,8.0,(1430人评价)
,,,
法外之徒 Bande à part,导演: 让-吕克·戈达尔 主演: 安娜·卡里娜 / 达妮埃尔·吉拉尔 / 路易莎·科尔佩恩 类型: 犯罪 / 剧情 制片国家/地区: 法国 年份: 1964,8.6,(18778人评价)
花火 HANA-BI,导演: 北野武 主演: 北野武 / 岸本加世子 / 大杉涟 类型: 剧情 / 爱情 / 犯罪 / 惊悚 制片国家/地区: 日本 年份: 1997,8.6,(94169人评价)
,,,
疤面煞星 Scarface,导演: 布莱恩·德·帕尔玛 主演: 阿尔·帕西诺 / 斯蒂文·鲍尔 / 米歇尔·菲佛 类型: 犯罪 / 剧情 / 惊悚 制片国家/地区: 美国 年份: 1983,8.3,(67092人评价)
虎胆龙威 Die Hard,导演: 约翰·麦克蒂尔南 主演: 布鲁斯·威利斯 / 邦妮·比蒂丽娅 / 雷金纳德·维尔约翰逊 类型: 动作 / 犯罪 / 惊悚 制片国家/地区: 美国 年份: 1988,8.2,(74889人评价)
抚养亚利桑纳 Raising Arizona,导演: 伊桑·科恩 / 乔尔·科恩 主演: 尼古拉斯·凯奇 / 霍利·亨特 / 特雷·威尔逊 类型: 冒险 / 喜剧 / 犯罪 / 悬疑 制片国家/地区: 美国 年份: 1987,7.4,(10458人评价)
,,,
,,,
,,,
天才一族 The Royal Tenenbaums,导演: 韦斯·安德森 主演: 吉恩·哈克曼 / 安杰丽卡·休斯顿 / 本·斯蒂勒 类型: 剧情 / 喜剧 / 家庭 制片国家/地区: 美国 年份: 2001,8.1,(40214人评价)
,,,
,,,
蝴蝶梦 Rebecca,导演: 阿尔弗雷德·希区柯克 主演: 劳伦斯·奥利弗 / 琼·芳登 / 乔治·桑德斯 类型: 剧情 / 爱情 / 悬疑 制片国家/地区: 美国 年份: 1940,8.3,(77050人评价)
,,,
,,,
郎心似铁 A Place in the Sun,导演: 乔治·史蒂文斯 主演: 蒙哥马利·克利夫特 / 伊丽莎白·泰勒 / 谢利·温特斯 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1951,7.7,(3424人评价)
,,,
纯真年代 The Age of Innocence,导演: 马丁·斯科塞斯 主演: 丹尼尔·戴-刘易斯 / 米歇尔·菲佛 / 薇诺娜·瑞德 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1993,8.2,(51343人评价)
,,,
杀手 The Killing,导演: 斯坦利·库布里克 主演: 斯特林·海登 / 柯琳·格蕾 / 文斯·爱德华兹 类型: 犯罪 / 黑色电影 / 惊悚 制片国家/地区: 美国 年份: 1956,8.6,(25045人评价)
,,,
,,,
,,,
新桥恋人 Les amants du Pont-Neuf,导演: 莱奥·卡拉克斯 主演: 朱丽叶·比诺什 / 德尼·拉旺 类型: 剧情 / 爱情 制片国家/地区: 法国 年份: 1991,8.1,(44480人评价)
,,,
记忆碎片 Memento,导演: 克里斯托弗·诺兰 主演: 盖·皮尔斯 / 凯瑞-安·莫斯 / 乔·潘托里亚诺 类型: 犯罪 / 剧情 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 2000,8.7,(533244人评价)
,,,
,,,
,,,
,,,
,,,
,,,
潘神的迷宫 El laberinto del fauno,导演: 吉尔莫·德尔·托罗 主演: 伊万娜·巴克罗 / 塞尔希·洛佩斯 / 玛丽维尔·贝尔杜 类型: 剧情 / 战争 / 奇幻 制片国家/地区: 西班牙/墨西哥/美国 年份: 2006,7.9,(203278人评价)
,,,
,,,
蒂凡尼的早餐 Breakfast at Tiffany's,导演: 布莱克·爱德华兹 主演: 奥黛丽·赫本 / 乔治·佩帕德 / 帕德里夏·妮尔 类型: 喜剧 / 剧情 / 爱情 制片国家/地区: 美国 年份: 1961,8.1,(212424人评价)
,,,
,,,
,,,
青年林肯 Young Mr. Lincoln,导演: 约翰·福特 主演: 亨利·方达 / 艾丽丝·布雷迪 / 玛乔丽·韦弗 类型: 传记 / 剧情 制片国家/地区: 美国 年份: 1939,7.5,(1201人评价)
,,,
年少轻狂 Dazed and Confused,导演: 理查德·林克莱特 主演: 杰森·伦敦 / 乔伊·劳伦·亚当斯 / 米拉·乔沃维奇 类型: 喜剧 / 剧情 制片国家/地区: 美国 年份: 1993,7.2,(4497人评价)
天使爱美丽 Le fabuleux destin d'Amélie Poulain,导演: 让-皮埃尔·热内 主演: 奥黛丽·塔图 / 马修·卡索维茨 / 吕菲斯 类型: 剧情 / 喜剧 / 爱情 制片国家/地区: 法国/德国 年份: 2001,8.7,(878597人评价)
,,,
三十九级台阶 The 39 Steps,导演: 阿尔弗雷德·希区柯克 主演: 罗伯特·多纳特 / 玛德琳·卡洛 / 露西·曼海姆 类型: 悬疑 / 惊悚 / 犯罪 制片国家/地区: 英国 年份: 1935,7.8,(28813人评价)
,,,
,,,
疤面人 Scarface,导演: 霍华德·霍克斯 / 理查德·罗森 主演: 保罗·穆尼 / 乔治·拉夫特 / 卡伦·莫利 类型: 剧情 / 动作 / 犯罪 / 黑色电影 制片国家/地区: 美国 年份: 1932,8.2,(3306人评价)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
爱在日落黄昏时 Before Sunset,导演: 理查德·林克莱特 主演: 伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫 类型: 剧情 / 爱情 制片国家/地区: 美国/法国 年份: 2004,8.9,(461045人评价)
,,,
青春年少 Rushmore,导演: 韦斯·安德森 主演: 詹森·舒瓦兹曼 / 比尔·默瑞 / 奥莉维亚·威廉姆斯 类型: 喜剧 / 剧情 制片国家/地区: 美国 年份: 1998,8.1,(20579人评价)
,,,
开罗紫玫瑰 The Purple Rose of Cairo,导演: 伍迪·艾伦 主演: 米亚·法罗 / 杰夫·丹尼尔斯 / 丹尼·爱罗 类型: 喜剧 / 爱情 / 奇幻 制片国家/地区: 美国 年份: 1985,8.7,(36908人评价)
,,,
剪刀手爱德华 Edward Scissorhands,导演: 蒂姆·波顿 主演: 约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特 类型: 剧情 / 奇幻 / 爱情 制片国家/地区: 美国 年份: 1990,8.7,(935889人评价)
,,,
十二宫 Zodiac,导演: 大卫·芬奇 主演: 杰克·吉伦哈尔 / 马克·鲁弗洛 / 安东尼·爱德华兹 类型: 剧情 / 传记 / 犯罪 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 2007,7.4,(168473人评价)
,,,
远方 Uzak,导演: 努里·比格·锡兰 主演: 穆扎菲·奥德默 / 伊敏·托普拉克 / 歇沃·简恩瑟 类型: 剧情 制片国家/地区: 土耳其 年份: 2002,8.3,(10627人评价)
一九五一年的欧洲 Europa '51,导演: 罗伯托·罗西里尼 主演: 英格丽·褒曼 / 亚历山大·诺克斯 / 埃托雷贾尼尼 类型: 剧情 制片国家/地区: 意大利 年份: 1952,8.1,(1844人评价)
航海家 The Navigator,导演: 唐纳德·克里斯普 / 巴斯特·基顿 主演: 巴斯特·基顿 / 凯瑟琳·麦奎尔 / 弗雷德里克·弗鲁姆 类型: 喜剧 / 动作 / 爱情 制片国家/地区: 美国 年份: 1924,8.3,(2029人评价)
,,,
,,,
他人之子 Le fils,导演: 让-皮埃尔·达内 / 吕克·达内 主演: 奥利维埃·古尔梅 / 摩根·马林 / Isabella Soupart 类型: 剧情 制片国家/地区: 比利时/法国 年份: 2002,8.1,(4612人评价)
